[15:22:21] config.py (line 370):     INFO: Seed number: 297834
[15:22:21] algorithm.py (line 267):     INFO: Reading input alignment: <_io.TextIOWrapper name='/labs/Wegrzyn/bikash/botany2021/braker/busco_downloads/placement_files/supermatrix.aln.eukaryota_odb10.2019-12-16.faa' mode='r' encoding='UTF-8'>
[15:22:21] algorithm.py (line 274):     INFO: Reading input tree: <_io.TextIOWrapper name='/labs/Wegrzyn/bikash/botany2021/braker/busco_downloads/placement_files/tree.eukaryota_odb10.2019-12-16.nwk' mode='r' encoding='UTF-8'>
[15:22:22] algorithm.py (line 247):     INFO: Decomposition Sizes are set to alignment: 122 placement: 122
[15:22:22] exhaustive.py (line 351):     INFO: Breaking into 15 placement subsets.
[15:22:22] exhaustive.py (line 398):     INFO: Breaking into 15 alignment subsets.
[15:22:22] filemgr.py (line 129):     INFO: Root temp directory built: /labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0
[15:22:22] exhaustive.py (line 413):     INFO: Breaking each alignment subset into 1 fragment chunks.
[15:22:44] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_0/A_0_0/hmmbuild.input.9xkwbzuo.fasta
[15:23:02] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_1/A_1_0/hmmbuild.input.16tjt09v.fasta
[15:23:21] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_2/A_2_0/hmmbuild.input.y6dm7hi5.fasta
[15:23:38] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_3/A_3_0/hmmbuild.input.kfw10vu1.fasta
[15:23:56] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_4/A_4_0/hmmbuild.input.3md03jh7.fasta
[15:24:13] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_5/A_5_0/hmmbuild.input.2d3bznt9.fasta
[15:24:31] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_6/A_6_0/hmmbuild.input.9zv8nl07.fasta
[15:24:49] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_7/A_7_0/hmmbuild.input.4tvf1w20.fasta
[15:25:07] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_8/A_8_0/hmmbuild.input.e50h_3u4.fasta
[15:25:25] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_9/A_9_0/hmmbuild.input.g2z2qlh_.fasta
[15:25:43] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_10/A_10_0/hmmbuild.input._v2i1o86.fasta
