#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
g729.t1              -           1547 179362at2759         -            938  8.3e-212  703.1 128.0   1   6   3.1e-98   9.8e-96  319.0  15.8     1   343   237   594   237   611 0.75 -
g729.t1              -           1547 179362at2759         -            938  8.3e-212  703.1 128.0   2   6      0.35   1.1e+02   -2.2  37.5   249   470   618   843   558   851 0.59 -
g729.t1              -           1547 179362at2759         -            938  8.3e-212  703.1 128.0   3   6   0.00015     0.047    8.9  10.3   365   524   817   969   810   975 0.57 -
g729.t1              -           1547 179362at2759         -            938  8.3e-212  703.1 128.0   4   6   6.5e-07   0.00021   16.7  17.4   537   730   949  1142   941  1150 0.86 -
g729.t1              -           1547 179362at2759         -            938  8.3e-212  703.1 128.0   5   6   6.3e-08     2e-05   20.1  18.6   576   727  1127  1286  1122  1291 0.76 -
g729.t1              -           1547 179362at2759         -            938  8.3e-212  703.1 128.0   6   6  5.2e-111  1.6e-108  361.3  11.7   718   938  1305  1532  1288  1532 0.89 -
g968.t1              -            632 179362at2759         -            938    0.0021   13.4   0.1   1   6      0.34   1.1e+02   -2.2   0.1    25    37   135   147   135   151 0.84 -
g968.t1              -            632 179362at2759         -            938    0.0021   13.4   0.1   2   6      0.74   2.3e+02   -3.3   0.2   588   601   192   205   164   243 0.41 -
g968.t1              -            632 179362at2759         -            938    0.0021   13.4   0.1   3   6     2e-05    0.0064   11.8   0.5   864   923   256   308   255   317 0.81 -
g968.t1              -            632 179362at2759         -            938    0.0021   13.4   0.1   4   6     0.023       7.3    1.7   3.5   614   683   318   387   311   394 0.82 -
g968.t1              -            632 179362at2759         -            938    0.0021   13.4   0.1   5   6     0.027       8.6    1.4   0.0    25    36   447   458   445   471 0.83 -
g968.t1              -            632 179362at2759         -            938    0.0021   13.4   0.1   6   6   6.7e-06    0.0021   13.4   0.1   877   901   555   579   553   586 0.94 -
g1633.t1             -            631 179362at2759         -            938    0.0023   13.3   8.8   1   2   4.1e-05     0.013   10.8   7.6   178   284   107   212   103   221 0.83 -
g1633.t1             -            631 179362at2759         -            938    0.0023   13.3   8.8   2   2     0.032        10    1.2   0.0   529   595   459   525   447   531 0.86 -
g283.t1              -            317 179362at2759         -            938     0.004   12.5  12.9   1   1   1.7e-05    0.0054   12.0  12.9   566   694    20   144     4   162 0.63 -
g1779.t1             -           1248 179362at2759         -            938     0.098    7.9   7.5   1   4      0.74   2.3e+02   -3.3   0.1    25    38   389   402   388   405 0.86 -
g1779.t1             -           1248 179362at2759         -            938     0.098    7.9   7.5   2   4     0.021       6.7    1.8   0.2   864   906   502   544   500   555 0.87 -
g1779.t1             -           1248 179362at2759         -            938     0.098    7.9   7.5   3   4    0.0051       1.6    3.8   0.1    23    37  1033  1047  1032  1052 0.91 -
g1779.t1             -           1248 179362at2759         -            938     0.098    7.9   7.5   4   4     0.003      0.95    4.6   0.0   864   906  1149  1191  1145  1195 0.93 -
g333.t1              -            828 179362at2759         -            938      0.91    4.7 110.4   1   3   0.00013     0.041    9.1  39.1   541   785   212   455   187   465 0.64 -
g333.t1              -            828 179362at2759         -            938      0.91    4.7 110.4   2   3     0.018       5.7    2.0  53.9   493   750   470   735   463   743 0.69 -
g333.t1              -            828 179362at2759         -            938      0.91    4.7 110.4   3   3     0.026       8.3    1.5   3.2   201   250   772   821   750   826 0.65 -
g1718.t1             -            569 179362at2759         -            938       2.3    3.4  58.7   1   3   0.00068      0.22    6.7  10.8   204   287    43   126    32   140 0.83 -
g1718.t1             -            569 179362at2759         -            938       2.3    3.4  58.7   2   3    0.0033         1    4.5  25.8   497   726   151   379   143   411 0.76 -
g1718.t1             -            569 179362at2759         -            938       2.3    3.4  58.7   3   3    0.0036       1.1    4.3   6.4   579   645   472   537   417   563 0.42 -
g423.t1              -            797 179362at2759         -            938       5.3    2.1  48.8   1   1    0.0033         1    4.5  36.7   519   741    95   326    81   331 0.69 -
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      /labs/Wegrzyn/bikash/botany2021/braker/busco_downloads/lineages/eukaryota_odb10/hmms/179362at2759.hmm
# Target file:     /labs/Wegrzyn/bikash/botany2021/braker/braker/augustus.hints.aa
# Option settings: /isg/shared/apps/hmmer/3.2.1/bin/hmmsearch --domtblout /labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/hmmer_output/initial_run_results/179362at2759.out --cpu 1 /labs/Wegrzyn/bikash/botany2021/braker/busco_downloads/lineages/eukaryota_odb10/hmms/179362at2759.hmm /labs/Wegrzyn/bikash/botany2021/braker/braker/augustus.hints.aa 
# Current dir:     /labs/Wegrzyn/bikash/botany2021/braker
# Date:            Thu Jul 15 15:22:01 2021
# [ok]
